"District", "Precinct", "LastName", "LastNameSuffix", "FirstName", "MiddleName", "HouseNumber", "Direction", "StreetName", "Unit", "Address", "City", "zip", "ParcelCode", "Phone", "Email", "Age", "DateofRegistration", "OriginalDateofRegistration", "Party", "Gender", "AbsenteeType", "Congressional", "Senate", "Representative", "County_Forest_District", "2018 General", "2018 Primary", "2017 Consolidated General", "2017 Consolidated Primary", "2016 General", "2016 Primary", "2015 Consolidated General", "2014 General", "2014 Primary", "2013 Consolidated General", "2013 Consolidated Primary", "2012 General", "2012 General Primary", "2011 Consolidated General", "2010 General", "2010 General Primary"
"Taxing District","Precinct003","Doe00097","","Debra","","27W182","","Street00070","","27W182 Street00070","Warrenville","60555","0436401063","(123) 555-1234","","59","2017-02-16","2015-03-16","NA","F","","6","21","41","6","Vote by Mail","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00098","","Laura","M","27W183","","Street00070","","27W183 Street00070","Warrenville","60555","0436401065","(123) 555-1234","","58","2019-05-02","1999-07-02","D","F","","6","21","41","6","Vote by Mail","D-Polling Place","","","Polling Place","","","Polling Place","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00099","","Janet","Mary","27W184","","Street00070","","27W184 Street00070","Warrenville","60555","0436401062","(123) 555-1234","","60","2013-12-03","1989-09-18","NA","F","","6","21","41","6","Early Voting","","","","Early Voting","","","Polling Place","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00100","","Joann G","","27W185","","Street00070","","27W185 Street00070","Warrenville","60555","0436401064","(123) 555-1234","","66","2013-07-28","2019-07-28","NA","F","","6","21","41","6","","","","","Polling Place","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00101","","Paul","Jr","27W187","","Street00070","","27W187 Street00070","Warrenville","60555","0436401072","(123) 555-1234","","54","2015-10-28","2014-05-20","NA","M","","6","21","41","6","Polling Place","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00102","","Jennifer","L","27W189","","Street00070","","27W189 Street00070","Warrenville","60555","0436401073","(123) 555-1234","","48","2016-09-20","2016-11-13","NA","F","","6","21","41","6","Polling Place","","","","Polling Place","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00103","","Robin","Lynn","3S584","","Street00070","","3S584 Street00070","Warrenville","60555","0436401076","(123) 555-1234","","57","2016-01-28","2016-03-24","D","F","","6","21","41","6","Early Voting","D-Polling Place","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00104","","Karen","","3S586","","Street00070","","3S586 Street00070","Warrenville","60555","0436401077","(123) 555-1234","","52","2016-05-12","2008-01-10","D","F","","6","21","41","6","","","","","Polling Place","","","Polling Place","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00105","","Daniel","","3S594","","Street00070","","3S594 Street00070","Warrenville","60555","0436401078","(123) 555-1234","","39","2015-06-18","2015-09-01","NA","M","","6","21","41","6","Polling Place","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00106","","Dane","","3S596","","Street00070","","3S596 Street00070","Warrenville","60555","0436401079","(123) 555-1234","","31","2016-09-28","2019-06-28","NA","M","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00106","","Kassie","L","3S596","","Street00070","","3S596 Street00070","Warrenville","60555","0436401079","(123) 555-1234","","30","2015-05-28","2018-05-27","NA","F","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00108","Jr","Welling","G","3S624","","Street00070","","3S624 Street00070","Warrenville","60555","0436401092","(123) 555-1234","","57","2015-10-13","2004-12-23","N","M","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00108","","Jeanine","J","3S624","","Street00070","","3S624 Street00070","Warrenville","60555","0436401092","(123) 555-1234","","56","2020-12-28","2021-04-12","NA","F","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00110","","Karla","F","3S625","","Street00070","","3S625 Street00070","Warrenville","60555","0436407033","(123) 555-1234","","72","2021-05-15","1982-12-08","R","F","","6","21","41","6","Vote by Mail","","","","Early Voting","","","","","","","Early Voting","","","",""
"Taxing District","Precinct003","Doe00111","","Joseph","F","3S627","","Street00070","","3S627 Street00070","Warrenville","60555","0436407034","(123) 555-1234","","62","2021-03-25","1996-01-10","R","M","","6","21","41","6","Early Voting","","","","Polling Place","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00112","","Alexandra","","3S627","","Street00070","","3S627 Street00070","Warrenville","60555","0436407034","(123) 555-1234","","19","2015-09-21","2020-02-01","NA","F","","6","21","41","6","Vote by Mail","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00112","","Susan","D","3S627","","Street00070","","3S627 Street00070","Warrenville","60555","0436407034","(123) 555-1234","","56","2016-03-25","2011-06-01","D","F","","6","21","41","6","Early Voting","","","","Polling Place","D-Polling Place","","","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00114","","Timothy","W","3S630","","Street00070","","3S630 Street00070","Warrenville","60555","0436401091","(123) 555-1234","","55","2017-05-13","2019-03-12","NA","M","","6","21","41","6","Polling Place","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00115","","Mayya","","3S637","","Street00070","","3S637 Street00070","Warrenville","60555","0436407013","(123) 555-1234","","40","2019-06-10","2018-03-07","NA","F","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00115","","Anthony","","3S637","","Street00070","","3S637 Street00070","Warrenville","60555","0436407013","(123) 555-1234","","43","2014-01-16","2006-01-07","R","M","","6","21","41","6","Polling Place","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00117","","Pamela","A","3S639","","Street00070","","3S639 Street00070","Warrenville","60555","0436407014","(123) 555-1234","","52","2014-07-12","2018-07-01","NA","F","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00118","","Christina","","3S642","","Street00070","","3S642 Street00070","Warrenville","60555","0436401086","(123) 555-1234","","50","2015-09-18","2015-11-05","NA","F","","6","21","41","6","Polling Place","","","","Early Voting","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00119","","Barbara","","3S645","","Street00070","","3S645 Street00070","Warrenville","60555","0436407021","(123) 555-1234","","24","2018-03-10","2011-12-11","NA","F","","6","21","41","6","","","Polling Place","","Early Voting","","","","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00119","","Francesca","","3S645","","Street00070","","3S645 Street00070","Warrenville","60555","0436407021","(123) 555-1234","","59","2017-07-24","1998-09-22","R","F","","6","21","41","6","Vote by Mail","R-Polling Place","Polling Place","","Early Voting","R-Early Voting","","Polling Place","R-Polling Place","","","Early Voting","R-Polling Place","","Polling Place",""
"Taxing District","Precinct003","Doe00119","","Fred","C","3S645","","Street00070","","3S645 Street00070","Warrenville","60555","0436407021","(123) 555-1234","","64","2019-07-20","1983-08-21","R","M","","6","21","41","6","Vote by Mail","R-Polling Place","Polling Place","","Early Voting","R-Early Voting","","Polling Place","R-Polling Place","","","Early Voting","R-Polling Place","","Polling Place","R-Polling Place"
"Taxing District","Precinct003","Doe00119","","Lisa","","3S645","","Street00070","","3S645 Street00070","Warrenville","60555","0436407021","(123) 555-1234","","31","2018-08-07","2002-08-28","R","F","","6","21","41","6","Vote by Mail","","","","Early Voting","R-Early Voting","","Polling Place","","","","Vote by Mail","","","Polling Place",""
"Taxing District","Precinct003","Doe00080","Jr","William","D","3S647","","Street00070","","3S647 Street00070","Warrenville","60555","0436407022","(123) 555-1234","","62","2015-01-28","1981-07-06","R","M","","6","21","41","6","Polling Place","R-Polling Place","","","Polling Place","R-Polling Place","","Vote by Mail","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00124","","Karen","M","3S647","","Street00070","","3S647 Street00070","Warrenville","60555","0436407022","(123) 555-1234","","65","2017-01-17","1995-07-15","R","F","","6","21","41","6","Polling Place","R-Polling Place","Polling Place","","Polling Place","R-Polling Place","","Polling Place","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00125","","Prasanga","","3S648","","Street00070","","3S648 Street00070","Warrenville","60555","0436401089","(123) 555-1234","","41","2020-07-17","2015-10-28","NA","F","","6","21","41","6","Vote by Mail","","Polling Place","","Polling Place","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00126","","Austin","","3S661","","Street00070","","3S661 Street00070","Warrenville","60555","0436407027","(123) 555-1234","","23","2019-11-28","2016-05-24","NA","M","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00127","","Stephen","R","3S661","","Street00070","","3S661 Street00070","Warrenville","60555","0436407027","(123) 555-1234","","58","2018-07-28","2005-04-24","R","M","","6","21","41","6","Polling Place","R-Polling Place","","","Early Voting","","","Polling Place","","","","Polling Place","R-Polling Place","","",""
"Taxing District","Precinct003","Doe00127","","Julie","A","3S661","","Street00070","","3S661 Street00070","Warrenville","60555","0436407027","(123) 555-1234","","58","2020-07-03","2010-08-26","R","F","","6","21","41","6","Early Voting","R-Polling Place","","","Early Voting","R-Polling Place","","Early Voting","","","","Early Voting","R-Polling Place","","",""
"Taxing District","Precinct003","Doe00129","","Betty","","3S663","","Street00070","","3S663 Street00070","Warrenville","60555","0436407028","(123) 555-1234","","71","2015-10-19","2020-07-17","NA","F","","6","21","41","6","Vote by Mail","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00129","","Peter","","3S663","","Street00070","","3S663 Street00070","Warrenville","60555","0436407028","(123) 555-1234","","75","2020-12-28","2014-05-19","NA","M","","6","21","41","6","Vote by Mail","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00131","","Stanley","","3S664","","Street00070","","3S664 Street00070","Warrenville","60555","0436401083","(123) 555-1234","","52","2016-09-26","1998-05-19","R","M","","6","21","41","6","Polling Place","","Polling Place","","Polling Place","R-Polling Place","","Polling Place","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00131","","Joseph","","3S664","","Street00070","","3S664 Street00070","Warrenville","60555","0436401083","(123) 555-1234","","22","2016-12-28","2016-04-11","NA","M","","6","21","41","6","","","","","Vote by Mail","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00131","","Annamarie","G","3S664","","Street00070","","3S664 Street00070","Warrenville","60555","0436401083","(123) 555-1234","","52","2020-12-26","2004-06-20","R","F","","6","21","41","6","Polling Place","","Polling Place","","Polling Place","R-Polling Place","","Polling Place","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00131","","Jessica","","3S664","","Street00070","","3S664 Street00070","Warrenville","60555","0436401083","(123) 555-1234","","24","2015-10-28","2009-08-17","NA","F","","6","21","41","6","","","","","Vote by Mail","","","","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00135","","Carolyn","","3S666","","Street00070","","3S666 Street00070","Warrenville","60555","0436401082","(123) 555-1234","","71","2020-10-04","1986-12-19","NA","F","","6","21","41","6","Vote by Mail","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00136","","Tina","","3S672","","Street00070","","3S672 Street00070","Warrenville","60555","0436401080","(123) 555-1234","","51","2016-01-01","2021-05-04","NA","F","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00136","","Gary","G","3S672","","Street00070","","3S672 Street00070","Warrenville","60555","0436401080","(123) 555-1234","","55","2016-10-27","2021-06-24","NA","M","","6","21","41","6","Polling Place","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00138","","Patrick A","","3S674","","Street00070","","3S674 Street00070","Warrenville","60555","0436401081","(123) 555-1234","","33","2020-08-23","2019-03-08","D","M","","6","21","41","6","Vote by Mail","D-Early Voting","","","Early Voting","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00139","","Summayya","","27W344","","Street00139","","27W344 Street00139","Warrenville","60555","0425406002","(123) 555-1234","","39","2016-12-06","2005-04-16","D","F","","6","21","41","6","Polling Place","D-Polling Place","","","Polling Place","D-Polling Place","","","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00140","","M","","27W344","","Street00139","","27W344 Street00139","Warrenville","60555","0425406002","(123) 555-1234","","45","2013-05-28","2010-05-23","D","M","","6","21","41","6","Polling Place","D-Polling Place","Polling Place","","Polling Place","D-Polling Place","","Polling Place","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00141","","Steve","","27W345","","Street00139","","27W345 Street00139","Warrenville","60555","0425407002","(123) 555-1234","","61","2017-10-06","1997-07-26","R","M","","6","21","41","6","Polling Place","","Polling Place","","Early Voting","R-Polling Place","","Polling Place","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00142","","Robert","","27W440","","Street00142","","27W440 Street00142","Warrenville","60555","0436309025","(123) 555-1234","","55","2019-12-03","1995-07-02","R","M","","6","21","41","6","Polling Place","R-Polling Place","Polling Place","","Polling Place","R-Polling Place","","Polling Place","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00143","","Eric","","27W440","","Street00142","","27W440 Street00142","Warrenville","60555","0436309025","(123) 555-1234","","43","2004-10-08","2003-08-12","R","M","","6","21","41","6","","","","","","R-Polling Place","","","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00144","","John","B","27W452","","Street00142","","27W452 Street00142","Warrenville","60555","0436309015","(123) 555-1234","","57","1977-03-22","1983-02-20","D","M","","6","21","41","6","Early Voting","D-Polling Place","Polling Place","","Polling Place","D-Polling Place","Polling Place","Polling Place","R-Polling Place","Polling Place","","Polling Place","R-Polling Place","Polling Place","Polling Place","D-Polling Place"
"Taxing District","Precinct003","Doe00144","","Sharon","M","27W452","","Street00142","","27W452 Street00142","Warrenville","60555","0436309015","(123) 555-1234","","54","1982-11-04","1982-06-01","D","F","","6","21","41","6","Early Voting","D-Polling Place","Polling Place","","Polling Place","R-Polling Place","Polling Place","Polling Place","R-Polling Place","Polling Place","","Polling Place","R-Polling Place","Polling Place","Polling Place","R-Polling Place"
"Taxing District","Precinct003","Doe00144","","Kyle","","27W452","","Street00142","","27W452 Street00142","Warrenville","60555","0436309015","(123) 555-1234","","22","2016-05-24","2012-07-22","D","M","","6","21","41","6","Early Voting","","","","","D-Polling Place","Polling Place","Polling Place","","","","","","","",""
"Taxing District","Precinct003","Doe00147","","Suzanna","","27W500","","Street00142","","27W500 Street00142","Warrenville","60555","0436308030","(123) 555-1234","","56","2019-06-26","2006-12-06","NA","F","","6","21","41","6","","","","","Vote by Mail","","","","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00148","","Michael","","27W500","","Street00142","","27W500 Street00142","Warrenville","60555","0436308030","(123) 555-1234","","43","2011-02-07","2001-02-23","R","M","","6","21","41","6","","","","","Early Voting","R-Polling Place","","","","","","Early Voting","","","",""
"Taxing District","Precinct003","Doe00148","","Leann","M","27W500","","Street00142","","27W500 Street00142","Warrenville","60555","0436308030","(123) 555-1234","","43","2017-09-18","2009-06-03","NA","F","","6","21","41","6","","","","","Early Voting","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00150","","Torri","","27W540","","Street00142","","27W540 Street00142","Warrenville","60555","0436307024","(123) 555-1234","","20","2017-11-25","2014-12-21","NA","F","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00151","","Julie","","27W540","","Street00142","","27W540 Street00142","Warrenville","60555","0436307024","(123) 555-1234","","56","2016-09-13","2011-06-19","R","F","","6","21","41","6","Vote by Mail","","","","Polling Place","R-Polling Place","Polling Place","Polling Place","R-Polling Place","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00151","","Carl","A","27W540","","Street00142","","27W540 Street00142","Warrenville","60555","0436307024","(123) 555-1234","","64","2016-08-28","2007-04-11","R","M","","6","21","41","6","Vote by Mail","","","R-Polling Place","Polling Place","R-Polling Place","","Polling Place","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00153","","Zvonimir","","27W543","","Street00142","","27W543 Street00142","Warrenville","60555","0436314012","(123) 555-1234","","71","2011-05-03","2009-07-03","D","M","","6","21","41","6","Polling Place","","","","Polling Place","D-Polling Place","","","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00153","","Gordana","","27W543","","Street00142","","27W543 Street00142","Warrenville","60555","0436314012","(123) 555-1234","","64","2013-05-15","2008-05-13","D","F","","6","21","41","6","Polling Place","","","","Polling Place","D-Polling Place","","Polling Place","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00155","","Harald","","27W543","","Street00142","","27W543 Street00142","Warrenville","60555","0436314012","(123) 555-1234","","77","2020-02-12","1996-12-28","D","M","","6","21","41","6","","","","","Early Voting","D-Polling Place","","Polling Place","D-Polling Place","","","Polling Place","","Polling Place","Polling Place","D-Polling Place"
"Taxing District","Precinct003","Doe00156","","Kimberly","","27W586","","Street00142","","27W586 Street00142","Warrenville","60555","0436306027","(123) 555-1234","","41","2001-03-15","2006-07-17","R","F","","6","21","41","6","Polling Place","","","","Polling Place","R-Polling Place","","Polling Place","","","","Polling Place","","Polling Place","",""
"Taxing District","Precinct003","Doe00156","","Carla","S","27W586","","Street00142","","27W586 Street00142","Warrenville","60555","0436306027","(123) 555-1234","","64","2009-09-17","2007-12-08","R","F","","6","21","41","6","Polling Place","","","","Polling Place","R-Polling Place","","Polling Place","","","","","","","Polling Place",""
"Taxing District","Precinct003","Doe00080","","Scott","","27W586","","Street00142","","27W586 Street00142","Warrenville","60555","0436306027","(123) 555-1234","","55","2004-06-16","2009-06-18","NA","M","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00159","","Thomas","","27W586","","Street00142","","27W586 Street00142","Warrenville","60555","0436306027","(123) 555-1234","","42","2010-09-08","1994-11-28","NA","M","","6","21","41","6","Polling Place","","","","Polling Place","","","Polling Place","","","","Polling Place","","Polling Place","",""
"Taxing District","Precinct003","Doe00160","","Gloria","","27W065","","Street00160","","27W065 Street00160","Warrenville","60555","0436202013","(123) 555-1234","","64","2001-12-01","1974-12-28","R","F","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00160","","Billy","","27W065","","Street00160","","27W065 Street00160","Warrenville","60555","0436202013","(123) 555-1234","","30","2007-03-01","2007-06-04","NA","M","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00160","","Nikolaos","","27W065","","Street00160","","27W065 Street00160","Warrenville","60555","0436202013","(123) 555-1234","","60","2018-01-11","2016-01-13","NA","M","","6","21","41","6","Polling Place","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00163","","Timothy","M","27W070","","Street00160","","27W070 Street00160","Warrenville","60555","0436202008","(123) 555-1234","","66","1985-03-04","1988-06-03","R","F","","6","21","41","6","Polling Place","R-Polling Place","Polling Place","R-Polling Place","Polling Place","R-Polling Place","Polling Place","Polling Place","R-Polling Place","Polling Place","","Polling Place","R-Polling Place","","Polling Place","R-Polling Place"
"Taxing District","Precinct003","Doe00163","","Jane","C","27W070","","Street00160","","27W070 Street00160","Warrenville","60555","0436202008","(123) 555-1234","","51","2002-10-26","1999-10-22","R","F","","6","21","41","6","Polling Place","","","","Polling Place","R-Polling Place","","Polling Place","R-Polling Place","","","Polling Place","","","Polling Place","R-Polling Place"
"Taxing District","Precinct003","Doe00165","","Virginia","","27W118","","Street00160","","27W118 Street00160","Warrenville","60555","0436202007","(123) 555-1234","","68","1987-06-13","1984-06-19","R","F","","6","21","41","6","Polling Place","R-Polling Place","Polling Place","","Polling Place","R-Polling Place","Polling Place","Polling Place","R-Polling Place","Polling Place","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00165","","Claudio","","27W118","","Street00160","","27W118 Street00160","Warrenville","60555","0436202007","(123) 555-1234","","71","1999-03-08","1999-01-04","R","M","","6","21","41","6","Polling Place","R-Polling Place","Polling Place","","","","Polling Place","Polling Place","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00167","","Jeffery","","27W125","","Street00160","","27W125 Street00160","Warrenville","60555","0436202012","(123) 555-1234","","56","1978-03-18","1982-08-17","R","","","6","21","41","6","","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00167","","Gary","","27W125","","Street00160","","27W125 Street00160","Warrenville","60555","0436202012","(123) 555-1234","","65","2016-12-04","2019-09-05","NA","U","","6","21","41","6","Polling Place","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00080","","James","P","27W125","","Street00160","","27W125 Street00160","Warrenville","60555","0436202012","(123) 555-1234","","65","2010-05-27","1981-05-28","R","M","","6","21","41","6","","","","","","","","","","","","Vote by Mail","","","Polling Place",""
"Taxing District","Precinct003","Doe00080","","Cody","L","27W125","","Street00160","","27W125 Street00160","Warrenville","60555","0436202012","(123) 555-1234","","62","2010-09-02","1982-12-23","R","F","","6","21","41","6","","","","","Polling Place","","","","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00171","","Mike","","27W140","","Street00160","","27W140 Street00160","Warrenville","60555","0436202006","(123) 555-1234","","58","1989-10-08","1989-10-13","R","M","","6","21","41","6","Vote by Mail","R-Early Voting","Polling Place","","Polling Place","R-Polling Place","","Polling Place","","","","","","","Polling Place","R-Polling Place"
"Taxing District","Precinct003","Doe00171","","Kristen","L","27W140","","Street00160","","27W140 Street00160","Warrenville","60555","0436202006","(123) 555-1234","","54","1991-11-10","1991-11-10","R","F","","6","21","41","6","Polling Place","","Polling Place","","Polling Place","R-Polling Place","","","","","","","","","Polling Place","R-Polling Place"
"Taxing District","Precinct003","Doe00173","","Thomas","C","27W145","","Street00160","","27W145 Street00160","Warrenville","60555","0436202011","(123) 555-1234","","63","2017-12-17","2002-04-01","R","M","","6","21","41","6","Early Voting","","","R-Polling Place","Polling Place","R-Polling Place","Polling Place","Polling Place","","","","Polling Place","","","",""
"Taxing District","Precinct003","Doe00173","","Cheryl J","","27W145","","Street00160","","27W145 Street00160","Warrenville","60555","0436202011","(123) 555-1234","","66","2017-02-28","2006-07-27","R","F","","6","21","41","6","Vote by Mail","R-Polling Place","Polling Place","R-Polling Place","Polling Place","R-Polling Place","","Polling Place","R-Polling Place","","","Polling Place","R-Polling Place","","Polling Place","R-Polling Place"
"Taxing District","Precinct003","Doe00175","","Carol","L","27W145","","Street00160","","27W145 Street00160","Warrenville","60555","0436202011","(123) 555-1234","","79","2017-05-13","2009-03-05","D","F","","6","21","41","6","","","","","","","","","","","","Polling Place","","","Polling Place",""
"Taxing District","Precinct003","Doe00176","","Roberta","J","27W162","","Street00160","","27W162 Street00160","Warrenville","60555","0436202005","(123) 555-1234","","61","1984-08-06","1982-08-08","R","F","","6","21","41","6","Polling Place","R-Polling Place","Polling Place","","Polling Place","R-Polling Place","Polling Place","Polling Place","R-Polling Place","Polling Place","","Polling Place","","","Polling Place","R-Polling Place"
"Taxing District","Precinct003","Doe00176","","Keith","W","27W162","","Street00160","","27W162 Street00160","Warrenville","60555","0436202005","(123) 555-1234","","68","1972-02-09","1968-06-09","R","M","","6","21","41","6","Polling Place","R-Polling Place","Polling Place","","Polling Place","R-Polling Place","Polling Place","Polling Place","R-Polling Place","Polling Place","","Polling Place","R-Polling Place","Polling Place","Polling Place","R-Polling Place"
"Taxing District","Precinct003","Doe00178","","Seon","Hwa","27W165","","Street00160","","27W165 Street00160","Warrenville","60555","0436202010","(123) 555-1234","","52","2017-06-26","2012-04-27","NA","F","","6","21","41","6","Vote by Mail","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00179","","Soon","Yung","27W165","","Street00160","","27W165 Street00160","Warrenville","60555","0436202010","(123) 555-1234","","56","2017-02-28","2013-01-28","NA","M","","6","21","41","6","Vote by Mail","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00180","","Thomas","S","27W174","","Street00160","","27W174 Street00160","Warrenville","60555","0436202004","(123) 555-1234","","56","2000-11-26","1996-11-28","R","M","","6","21","41","6","Polling Place","R-Polling Place","","","Polling Place","","","Polling Place","","","","Polling Place","","Polling Place","Polling Place",""
"Taxing District","Precinct003","Doe00180","","Lisa","R","27W174","","Street00160","","27W174 Street00160","Warrenville","60555","0436202004","(123) 555-1234","","53","2001-11-19","1995-06-20","R","F","","6","21","41","6","Polling Place","R-Polling Place","Polling Place","","Polling Place","R-Polling Place","","Polling Place","","","","Polling Place","","Polling Place","Polling Place",""
"Taxing District","Precinct003","Doe00180","","Thomas","","27W174","","Street00160","","27W174 Street00160","Warrenville","60555","0436202004","(123) 555-1234","","20","2014-06-17","2013-01-12","NA","M","","6","21","41","6","","","","","Polling Place","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00180","","Olivia","","27W174","","Street00160","","27W174 Street00160","Warrenville","60555","0436202004","(123) 555-1234","","22","2018-01-13","2013-01-12","D","","","6","21","41","6","","","","","","D-Polling Place","","","","","","","","","",""
"Taxing District","Precinct003","Doe00180","","Claire","Elizabeth","27W174","","Street00160","","27W174 Street00160","Warrenville","60555","0436202004","(123) 555-1234","","25","2015-11-10","2017-11-07","NA","F","","6","21","41","6","Polling Place","","","","","","","","","","","","","","",""
"Taxing District","Precinct003","Doe00185","","Anthony","","27W175","","Street00160","","27W175 Street00160","Warrenville","60555","0436202009","(123) 555-1234","","75","1973-11-08","1974-08-12","R","","","6","21","41","6","Polling Place","R-Polling Place","Polling Place","R-Polling Place","Polling Place","R-Early Voting","Polling Place","Early Voting","R-Polling Place","Polling Place","","Polling Place","R-Polling Place","","Early Voting","R-Polling Place"
"Taxing District","Precinct003","Doe00185","","Irene","","27W175","","Street00160","","27W175 Street00160","Warrenville","60555","0436202009","(123) 555-1234","","70","1977-10-11","1973-10-08","R","","","6","21","41","6","Polling Place","R-Polling Place","Polling Place","R-Polling Place","Polling Place","R-Early Voting","Polling Place","Early Voting","R-Polling Place","Polling Place","","Polling Place","R-Polling Place","Polling Place","Early Voting","R-Polling Place"
"Taxing District","Precinct003","Doe00187","","James","","27W100","","Street00187","","27W100 Street00187","Warrenville","60555","0436400007","(123) 555-1234","","68","1987-11-12","1986-05-15","D","","","6","21","41","6","Polling Place","D-Polling Place","Polling Place","","Polling Place","D-Polling Place","Polling Place","Polling Place","D-Polling Place","Polling Place","","Polling Place","R-Polling Place","","Polling Place","D-Polling Place"
"Taxing District","Precinct003","Doe00187","","Alta","C","27W100","","Street00187","","27W100 Street00187","Warrenville","60555","0436400007","(123) 555-1234","","77","1985-08-24","1985-06-24","D","","","6","21","41","6","Polling Place","D-Polling Place","Polling Place","R-Polling Place","Polling Place","D-Polling Place","Polling Place","Polling Place","R-Polling Place","","","Polling Place","R-Polling Place","","Polling Place","D-Polling Place"
"Taxing District","Precinct003","Doe00189","","Sasha","N","27W126","","Street00187","","27W126 Street00187","Warrenville","60555","0436400008","(123) 555-1234","","29","2009-12-09","2007-12-04","NA","F","","6","21","41","6","Polling Place","","","","","","","","","","","Provisional","","","Polling Place",""
"Taxing District","Precinct003","Doe00189","","Gary","","27W126","","Street00187","","27W126 Street00187","Warrenville","60555","0436400008","(123) 555-1234","","63","2014-07-12","2016-08-18","D","M","","6","21","41","6","","","","","","D-Polling Place","","","","","","","","","",""
"Taxing District","Precinct003","Doe00191","","George","F","27W130","","Street00187","","27W130 Street00187","Warrenville","60555","0436400009","(123) 555-1234","","93","1954-05-02","1950-01-01","R","","","6","21","41","6","Early Voting","R-Polling Place","Polling Place","","Early Voting","R-Polling Place","Polling Place","Polling Place","R-Polling Place","Polling Place","","Polling Place","","Polling Place","Polling Place","R-Polling Place"
